word,x_coord,y_coord,word_count
tono,-27.08309,-1.2083154,912
aua,-9.062575,-17.053131,891
motu,3.157359,-28.086336,891
tohunga,10.955136,-31.56418,890
uru,10.675855,-9.428253,878
hōia,15.469474,16.780897,878
tāone,7.2676444,-25.20957,871
whakaatu,-38.08914,10.730851,848
tuku,-27.837574,2.8731816,842
taea,-19.601341,-27.92246,835
taranaki,40.432896,22.4313,831
kupu,-42.82086,15.907227,807
āwhina,-34.41248,-0.96880746,800
wāhanga,-26.080263,16.62939,795
tonga,57.252224,-11.942603,794
ngāi_tahu,61.081997,14.274593,768
riri,22.070677,-2.2529542,766
whawhai,23.134695,-2.0407276,763
manu,4.3195186,-50.843884,759
moni,-63.849487,-17.82501,758
whakaae,-26.40549,-2.3524494,756
mema,-26.00372,43.20748,749
hou,-50.110786,-33.911995,746
tō_rātou,9.773341,8.908074,744
rangi,8.471084,0.5392176,744
toi,-37.250996,-37.654034,739
pū,22.229277,-13.036926,739
uri,42.525978,32.996643,738
tō,-6.8202953,-23.653316,736
tahi,-5.0082784,12.554635,732
hiahia,-29.236603,-7.267825,725
moe,23.727568,48.685993,724
kīia,-11.369281,-6.9350634,717
mātauranga,-48.183445,-20.927269,705
rere,26.90039,-14.258565,701
tautoko,-35.644314,-2.2406793,699
konei,-5.58356,-13.141865,694
mōhio,-30.227976,-24.545717,689
whakapapa,-39.63552,-15.629555,684
karauna,-62.924267,-5.159132,681
rite,-25.717093,-28.04479,677
taenga,6.9706607,-2.1019282,667
tika,-21.743668,-26.100075,661
tamāhine,23.540878,52.19884,661
minita,-20.407478,43.28103,657
tipu,-12.81365,-47.315956,656
moutere,47.204838,-24.00792,649
arawa,48.708702,36.723988,646
tōmua,1.7954293,-6.3290462,645
kite,-17.509708,-14.768973,639
hau,17.269463,-8.409069,636
tari,-54.025555,2.6475828,636
anake,-9.887162,-19.927687,628
ahu,-0.034807596,-36.209564,626
hāhi,-11.438934,43.42816,624
pakeke,-2.516033,20.822989,624
rātana,-12.505536,44.60447,620
tapu,23.226967,-27.773933,610
aha,-20.804567,-26.444145,605
kīhai,-19.082489,-19.310873,604
pukapuka,-47.903778,19.648216,602
hai,-10.466691,8.7459545,602
tukuna,-19.507662,3.975118,600
ngāti_porou,49.904766,35.46426,599
rahi,-16.273346,-42.961014,593
ako,-46.645256,-21.643644,591
whakatau,-52.380894,-5.102981,591
atua,24.826073,-27.003536,588
kīngitanga,-1.121098,30.727541,587
toru,3.1241717,-15.586206,586
tokorua,25.668882,45.291454,570
huri,8.61875,-7.5620375,565
āhuatanga,-42.907974,-28.1952,565
mōna,-8.702555,7.514849,565
haerenga,6.4242773,-1.3673514,564
ētehi,-6.9375157,8.340846,562
matenga,23.354965,8.124073,559
engari,-16.724785,-22.767836,548
taka,2.1072176,-10.936494,547
whanganui,50.840736,-5.1774955,545
kīngi,1.9739072,33.959564,545
whakapono,-9.337479,43.3187,543
tākaro,-29.84483,29.329306,535
hinga,20.55755,1.832334,531
koia,-7.0280757,-10.562105,528
whānui,-10.779389,-16.41552,525
maunga,43.005234,-21.205557,525
kooti,24.090742,14.966722,519
nāwai,-5.286586,-13.11456,518
tai_rāwhiti,61.630726,-0.120255664,515
koinei,-7.1092877,-10.669923,513
tīmatanga,3.4163888,-5.255854,512
tukua,-19.926085,4.8030286,509
mōhiotia,-11.279464,-5.755625,504
ika,6.8727236,-51.00895,503
rotorua,44.86474,7.093121,502
mahue,10.748234,4.3369126,494
mutunga,3.487806,-4.6491914,494
komiti,-28.651844,42.57445,494
hangaia,-20.4264,14.417545,491
tūturu,-42.51829,-17.284739,488
kaunihera,-29.662367,42.72258,488
whanganuiatara,46.686367,11.086165,487
tiaki,-42.970707,-8.823068,486
whakamahia,-16.766373,-52.17749,480
kaumātua,-0.08119566,19.472128,480
pāremata,-28.111795,48.720203,477
