x_coord,y_coord,word
-0.9018103,-3.7010984,waiata
4.5690985,-1.4968398,wāhine
-1.7184631,0.01119395,nuinga
-1.9121461,1.5335395,hanga
-0.9895852,-2.0647514,whakatū
1.3482124,2.9213614,moana
-3.7766633,-0.5567446,utu
-0.017275304,-0.012676796,rongo
-3.9899628,-1.9948778,waitangi
-1.3504857,-1.1127605,tono
-1.5433358,-0.13882352,aua
-0.3761727,1.1942954,motu
-1.247566,-2.9751306,tohunga
-0.25806308,-0.053246513,uru
1.0047121,-1.037273,hōia
1.6519018,1.6984875,tāone
-2.248292,-3.3651023,whakaatu
-1.3107479,-1.0806056,tuku
-2.1811137,-0.23453675,taea
3.8486958,0.93198484,taranaki
-1.959295,-3.765806,kupu
-1.5896001,-1.5438496,āwhina
-0.92460054,-0.15537524,wāhanga
2.1681893,2.9376125,tonga
4.018697,0.6194903,ngāi_tahu
0.873683,0.013082653,riri
0.9164893,-0.018130831,whawhai
-1.3098551,2.4817643,manu
-3.7238815,-0.6479128,moni
-1.7785825,-1.2227197,whakaae
0.3470136,-3.3567448,mema
-1.1981932,-2.0627685,hou
-0.12065813,-0.60405654,tō_rātou
-0.23535074,0.8319909,rangi
-1.7077118,-2.8888392,toi
0.51377517,0.5892812,pū
3.6785774,0.22039428,uri
-1.6015339,0.3252169,tō
-0.23900676,-1.1353065,tahi
-1.8461881,-1.3699242,hiahia
4.00669,-1.6408947,moe
-0.61532426,-0.4465599,kīia
-1.3571151,-2.8438687,mātauranga
0.5908605,1.1688936,rere
-2.1703756,-1.726863,tautoko
-0.96948165,-0.033405207,konei
-1.4440606,-1.9473296,mōhio
-1.8788857,-2.8886967,whakapapa
-3.8052037,-1.1688086,karauna
-1.8138098,-0.25721228,rite
-0.32207134,0.3931771,taenga
-2.217065,-0.23640773,tika
3.9875798,-1.9086417,tamāhine
0.7119814,-3.00596,minita
-1.6589345,1.8878582,tipu
1.4267462,2.9130154,moutere
3.8813336,0.19720481,arawa
-0.61939055,0.4762748,tōmua
-1.3801346,-0.31872472,kite
-0.54915094,1.1239086,hau
-3.316192,-1.6323729,tari
-1.9245791,0.17367446,anake
-0.24115622,1.364526,ahu
1.5501088,-3.2109227,hāhi
4.400363,-1.3540711,pakeke
1.3150568,-3.1142666,rātana
0.3910829,1.2495,tapu
-2.168442,-0.27107486,aha
-1.7647192,-0.5570945,kīhai
-1.9955857,-4.1048813,pukapuka
-0.15306896,-1.6780185,hai
